ID;Name;Sex;PeoplesCount
20214;Агрофиния;ЖЕН.;2
20215;Агрулина;ЖЕН.;1
20217;Агтета;ЖЕН.;2
20218;Агунда;ЖЕН.;642
20219;Агуя;ЖЕН.;2
20220;Агустина;ЖЕН.;16
20222;Агха;ЖЕН.;7
20225;Ада;ЖЕН.;25000
20226;Адаа;ЖЕН.;39
20227;Адавие;ЖЕН.;9
20228;Адавият;ЖЕН.;7
20229;Адавье;ЖЕН.;2
20230;Адаида;ЖЕН.;4
20232;Адай;ЖЕН.;3000
20233;Адалаида;ЖЕН.;19
20234;Адалиада;ЖЕН.;1
20235;Адалина;ЖЕН.;378
20236;Адалия;ЖЕН.;63
20237;Адаль;ЖЕН.;16
20238;Адальберта;ЖЕН.;1
20239;Адальмина;ЖЕН.;11
20240;Адальфина;ЖЕН.;1
20241;Адаля;ЖЕН.;9
20242;Адалят;ЖЕН.;594
20243;Адама;ЖЕН.;2000
20244;Адамина;ЖЕН.;89
20245;Адана;ЖЕН.;143000
20246;Адане;ЖЕН.;2
20247;Адария;ЖЕН.;5
20248;Адарья;ЖЕН.;3
20250;Адась;ЖЕН.;54
20251;Адаська;ЖЕН.;3
20252;Адася;ЖЕН.;5
20253;Адафия;ЖЕН.;1
20254;Адая;ЖЕН.;13
20255;Адвентина;ЖЕН.;6
20257;Адвина;ЖЕН.;7
20258;Адда;ЖЕН.;78
20259;Адделина;ЖЕН.;2
20261;Адеалида;ЖЕН.;1
20262;Адеалина;ЖЕН.;1
20263;Адебенга;ЖЕН.;1
20265;Адеелия;ЖЕН.;4
20266;Адеида;ЖЕН.;1
20267;Адеина;ЖЕН.;3
20268;Адей;ЖЕН.;51
20269;Адейла;ЖЕН.;1
20270;Адейля;ЖЕН.;1
20271;Адека;ЖЕН.;286
20272;Адела;ЖЕН.;416
20274;Аделае;ЖЕН.;1
20275;Аделаида;ЖЕН.;178000
20276;Аделаижа;ЖЕН.;2
20277;Аделаина;ЖЕН.;4
20278;Аделайда;ЖЕН.;25
20279;Аделанда;ЖЕН.;1
20282;Аделея;ЖЕН.;1
20283;Адели;ЖЕН.;241
20284;Аделиада;ЖЕН.;12
20285;Аделида;ЖЕН.;10
20286;Аделина;ЖЕН.;36000
20287;Аделиня;ЖЕН.;1
20288;Аделия;ЖЕН.;4000
20289;Аделка;ЖЕН.;30
20290;Аделла;ЖЕН.;171
20291;Аделлаида;ЖЕН.;11
20292;Аделли;ЖЕН.;2
20293;Аделлинда;ЖЕН.;3
20294;Аделоида;ЖЕН.;8
20295;Адель;ЖЕН.;23000
20296;Адельвина;ЖЕН.;7
20298;Адельгейда;ЖЕН.;7
20299;Адельда;ЖЕН.;3
20300;Адельина;ЖЕН.;7
20301;Аделька;ЖЕН.;1000
20302;Адельмина;ЖЕН.;7
20303;Адельфина;ЖЕН.;91
20304;Адельфия;ЖЕН.;15
20305;Адельша;ЖЕН.;58
20307;Аделья;ЖЕН.;359
20308;Аделя;ЖЕН.;20000
20309;Аделяна;ЖЕН.;22
20310;Адемина;ЖЕН.;3
20311;Адемия;ЖЕН.;32
20312;Адена;ЖЕН.;215
20313;Аденаида;ЖЕН.;1
20314;Аденда;ЖЕН.;2
20316;Адепя;ЖЕН.;1
20319;Адериту;ЖЕН.;4
20321;Адерша;ЖЕН.;2
20324;Адетта;ЖЕН.;19
20325;Адефтина;ЖЕН.;2
20326;Адешина;ЖЕН.;16
20327;Адея;ЖЕН.;35
20328;Аджана;ЖЕН.;8
